"PicCount","Pics","Status","MLS #","Property Type","Address","City","State","County","MLS List Date","Price","Bedrooms Total","Bathrooms Total","SqFtTotFn","Listing Office - Office Name","List Agent - Agent Name","DOM"
"34","https://zimg.paragon.ice.com/ParagonImages/Property/PO/PRIMEMLS/5074536/0/120/90/e2c8cd2abf36206a50f2361007c59ffc/0/bb6532f9d237800185277509da071cf5/5074536-fa0bb112-8b49-409a-ae83-96011cb7d365.JPG","A","5074536","Single Family","13 Terrace Street","Haverhill","NH","NH-Grafton","1/21/2026","$200,000","3","3","3,276","EXP Realty","Austin Sickler","15"
"20","https://zimg.paragon.ice.com/ParagonImages/Property/PO/PRIMEMLS/5074860/0/120/90/4dedc757e27bd4df82cec620f9f6ca5a/0/9fe933e9a4947166d5aa8508e3cca415/5074860-b3f57365-f48e-49cd-89da-572e772b8d1b.JPG","A","5074860","Mobile Home","28 Woodlawn Drive","Allenstown","NH","NH-Merrimack","1/24/2026","$200,000","3","2","1,069","BHHS Verani Londonderry","Joey Lee Howe","12"
"30","https://zimg.paragon.ice.com/ParagonImages/Property/PO/PRIMEMLS/5046790/0/120/90/cadf8f56135f411483116150cdbb6a64/0/bd883a25bb6056dfbe3267d5da7a73c2/5046790-e43800d2-467f-4737-9d85-eb8afe719480.JPG","A","5046790","Single Family","199 Collins Street","Berlin","NH","NH-Coos","6/16/2025","$200,000","3","2","1,508","A House To Home Realty","Susan O Solar","234"
"37","https://zimg.paragon.ice.com/ParagonImages/Property/PO/PRIMEMLS/5072172/0/120/90/5ab217911d64c0f59e727356bed718bd/0/3d4e0c0823cc80cc893cdd1a54bb7410/5072172-cd5bf52d-c791-437c-a661-84ab177a27b6.JPG","A","5072172","Single Family","113 Meadow Street","Littleton","NH","NH-Grafton","12/17/2025","$200,000","3","1","924","Matt Tellier Real Estate","Matt Tellier","50"
"2","https://zimg.paragon.ice.com/ParagonImages/Property/PO/PRIMEMLS/5075732/0/120/90/6fa60d3c19d27f1cb9d8e4d1b06c67d9/0/f389282dbe2494dfed16e522ed5dfc99/5075732-93f450a8-fb16-4c12-9bab-23f1b977e844.JPG","CS","5075732","Condo","794 Court Street","Keene","NH","NH-Cheshire","2/4/2026","$204,900","2","1","1,372","Redfin Corporation","Doreen Lewis","0"
"24","https://zimg.paragon.ice.com/ParagonImages/Property/PO/PRIMEMLS/5072987/0/120/90/8b7dd77d585b35c1a1fc3760cac64139/0/ab3eeece588ac014f88e1c19d50c5e94/5072987-f8c49ebb-4414-4d78-bac0-db99f7fb838f.JPG","A","5072987","Condo","4 Pembroke Drive","Derry","NH","NH-Rockingham","1/3/2026","$208,000","1","1","658","Realty One Group Next Level","Ryan Kalantzis","33"
"19","https://zimg.paragon.ice.com/ParagonImages/Property/PO/PRIMEMLS/5063531/0/120/90/94db46af3250dc7a0467a0f0b71d2dd8/0/ee7551640fa6059f75a902f3247e5545/5063531-dab72f30-3e2f-46b9-a615-78deba3cd005.JPG","A","5063531","Single Family","266 Madison Avenue","Berlin","NH","NH-Coos","9/29/2025","$209,000","3","2","1,211","RE/MAX Northern Edge Realty LLC","Jennifer Stewart","129"
"33","https://zimg.paragon.ice.com/ParagonImages/Property/PO/PRIMEMLS/5074948/0/120/90/9cae686c86ae0d95fe8695c6666b4634/0/8d50e6860016e686ef442dfd10d6401c/5074948-6bfd9567-b928-41da-a05b-840979a4adc3.JPG","A","5074948","Single Family","191 Washington Street","Littleton","NH","NH-Grafton","1/26/2026","$209,000","3","1","1,014","Matt Tellier Real Estate","Matt Tellier","10"
"23","https://zimg.paragon.ice.com/ParagonImages/Property/PO/PRIMEMLS/5066496/0/120/90/e037688847f9baa93ed6acfefe2d790c/0/d0c52737812a97f8750ffc62278f25bc/5066496-FF6FF2F9-5B17-410E-B65C-EA62F8323CA5.JPG","A","5066496","Mobile Home","13 Courtesy Avenue","Belmont","NH","NH-Belknap","10/17/2025","$209,900","3","2","1,188","BHHS Verani Belmont","Douglas Rollins","111"
"10","https://zimg.paragon.ice.com/ParagonImages/Property/PO/PRIMEMLS/5059933/0/120/90/9c0965af73d412cc8b1af0f035f60d04/0/e87adb604816517ec29503689e52f882/5059933-b45b3452-630d-4238-b95b-c8f72126f196.JPG","A","5059933","Single Family","295 East Mountain Road","Newport","NH","NH-Sullivan","9/4/2025","$209,900","2","1","1,350","Coldwell Banker LIFESTYLES - Sunapee","Scott Bennett","131"
"23","https://zimg.paragon.ice.com/ParagonImages/Property/PO/PRIMEMLS/5066221/0/120/90/e96ff9ec6d519a084834189cafadcb1d/0/4a1509b9211d66522e6e485bf7c97400/5066221-ce807975-a0eb-4dee-b61e-f966c492f1cb.JPG","A","5066221","Single Family","13 Courtesy Avenue","Belmont","NH","NH-Belknap","10/17/2025","$209,900","3","2","1,188","BHHS Verani Belmont","Douglas Rollins","111"
"12","https://zimg.paragon.ice.com/ParagonImages/Property/PO/PRIMEMLS/5032835/0/120/90/fa42d9cc24d69a2f747a7b7e683d8dce/0/97b2fc5d1eab9b21377a7028e31c99e9/5032835-891982ff-7b84-4441-b976-745307a4d237.JPG","A","5032835","Single Family","16 N Main Street","Lisbon","NH","NH-Grafton","3/20/2025","$209,900","0","3","2,106","RE/MAX in the Mountains","Ben Wilson","322"
"20","https://zimg.paragon.ice.com/ParagonImages/Property/PO/PRIMEMLS/5074933/0/120/90/e99e35bb22da20617b2e635650192585/0/39375be33e81f7a8dceef856b6e2e3f5/5074933-a97b4494-ace7-4cf0-8481-3140a1b12e56.JPG","A","5074933","Condo","5 Silvestri Circle","Derry","NH","NH-Rockingham","1/26/2026","$210,000","1","1","702","Jill & Co. Realty Group - Real Broker NH, LLC","Deanna I Paddock","10"
"24","https://zimg.paragon.ice.com/ParagonImages/Property/PO/PRIMEMLS/5072926/0/120/90/c25d5021187c2dd67b3c588d0edf9ee7/0/de2e1b05e918151b0448d3f771ef86de/5072926-0ec31c32-18a5-4d80-8f18-fd216db85b43.JPG","A","5072926","Mobile Home","69 NASHVILLE Street","Seabrook","NH","NH-Rockingham","1/1/2026","$210,000","2","2","924","Fortin Realtors","Janice Lambert","35"
"33","https://zimg.paragon.ice.com/ParagonImages/Property/PO/PRIMEMLS/5073773/0/120/90/c9ae3c6646545ac5f92b2e87e9c84a24/0/76ebc89ece41127a3b1cc5c18a0533d6/5073773-C4F9AFE2-E78C-4FE1-82BE-91AF84166042.JPG","A","5073773","Condo","28 Packard Road","Waterville Valley","NH","NH-Grafton","1/13/2026","$214,000","1","1","675","Roper Real Estate","Chip Roper","23"
"24","https://zimg.paragon.ice.com/ParagonImages/Property/PO/PRIMEMLS/5069948/0/120/90/11924f47ca60142f57a01a082a485a85/0/c1fd6eb891ab87eab87715bfa3d05d2c/5069948-abff23e5-d8af-4936-b8fa-e80df937f9b0.JPG","A","5069948","Single Family","378 Madison Avenue","Berlin","NH","NH-Coos","11/18/2025","$214,900","4","2","1,500","BHHS Verani Nashua","Charissa Kennard","79"
"38","https://zimg.paragon.ice.com/ParagonImages/Property/PO/PRIMEMLS/5058203/0/120/90/621e3cc397761a6518fe63a3e752965d/0/c6688de7941ab7108446f473ce8ddd9d/5058203-b12e4566-c749-4d5f-aba9-001e12000f86.JPG","A","5058203","Mobile Home","4 Ivy Lane","Farmington","NH","NH-Strafford","8/25/2025","$214,900","3","2","1,404","BHG Masiello Dover","Jodi A Trefethen","109"
"35","https://zimg.paragon.ice.com/ParagonImages/Property/PO/PRIMEMLS/5075275/0/120/90/3fc5841378f00745c2febf02c303a5a5/0/c4181c1dcd8688fb38dd353790664672/5075275-ed046a2e-0c43-4cb9-a654-841a72091899.JPG","A","5075275","Condo","616 Portland Street","Rochester","NH","NH-Strafford","1/30/2026","$215,000","2","1","901","KW Coastal and Lakes & Mountains Realty","Nikki Douglass","6"
"46","https://zimg.paragon.ice.com/ParagonImages/Property/PO/PRIMEMLS/5073790/0/120/90/65caa87544ee06cbbb8216ead64ef7fc/0/1b2b543154d0fb02ca7fab1050b51e29/5073790-f31cb169-469b-4ac8-b6f9-669bcdc049ab.JPG","A","5073790","Single Family","24 Jewel Street","Gorham","NH","NH-Coos","1/13/2026","$218,000","3","2","1,466","RE/MAX Northern Edge Realty LLC","Maria C Aristegui-Burke","23"
"34","https://zimg.paragon.ice.com/ParagonImages/Property/PO/PRIMEMLS/5074509/0/120/90/6c1e3055f929bdfe98442ac9e15b1a10/0/d007cff5fe13e3bd20350424d7efb45f/5074509-1defc51d-331d-4a43-ac67-2083b956ac5d.JPG","A","5074509","Mobile Home","108 Colonial Village","Somersworth","NH","NH-Strafford","1/21/2026","$218,200","2","2","924","KW Coastal and Lakes & Mountains Realty","Danica Billado","15"
"24","https://zimg.paragon.ice.com/ParagonImages/Property/PO/PRIMEMLS/5032564/0/120/90/92a63768fbb5fef09d5b8ab5b4f7c6c5/0/f80764070a7e5ab2c58cfaa5865751ca/5032564-0dba0764-96da-4470-9774-c3077e468680.JPG","A","5032564","Condo","36 Lodge Road","Lincoln","NH","NH-Grafton","3/18/2025","$219,000","0","1","336","RE/MAX in the Mountains","Ben Wilson","288"
"30","https://zimg.paragon.ice.com/ParagonImages/Property/PO/PRIMEMLS/5073610/0/120/90/76aef1831f76445cb2808631e9f9c684/0/8cdf6996de7bc3b8712d888790c4e044/5073610-37d3dcb7-6ec5-4aff-a16b-aad775f0785b.JPG","A","5073610","Single Family","1246 New Hampshire Route 175","Campton","NH","NH-Grafton","1/9/2026","$219,700","4","2","3,592","Century 21 Highview Realty","Ross P Doody","27"
"25","https://zimg.paragon.ice.com/ParagonImages/Property/PO/PRIMEMLS/5068973/0/120/90/fe053ca2df54d54731df2bce86caa5a3/0/3e112721f0ce3c1fe94ed2d806603296/5068973-2933c24b-efea-47a3-9e20-3eaac169ff40.JPG","A","5068973","Mobile Home","10 Erin Lane","Rochester","NH","NH-Strafford","11/7/2025","$219,900","3","2","1,177","Somerset Group Real Estate","Ardis L Bosse","90"
"31","https://zimg.paragon.ice.com/ParagonImages/Property/PO/PRIMEMLS/5062559/0/120/90/b5948ba9512f455e1321fe2c90459581/0/7636d6e5f9eb9282a9b09d237974c415/5062559-91a9a305-816a-411d-9d5d-0b43a558f943.JPG","A","5062559","Mobile Home","102 Osprey Road","Alton","NH","NH-Belknap","9/23/2025","$219,900","3","2","1,620","Maxfield Real Estate/ Alton","Jennifer Azzara","135"
"38","https://zimg.paragon.ice.com/ParagonImages/Property/PO/PRIMEMLS/5075675/0/120/90/0abf8366d0f8c865f8103ef2a3fba10d/0/d3e85da9c32571bc60025bbb6431c982/5075675-005b66c1-9d2d-479d-b9ac-436b25b8c262.JPG","A","5075675","Mobile Home","15 Lighthouse Lane","Conway","NH","NH-Carroll","2/4/2026","$220,000","3","2","2,464","KW Coastal and Lakes & Mountains Realty/N Conway","Stacy Sand","1"
